time,probability
7.594667,0.000000
7.616000,0.000000
7.637333,0.000000
7.658667,0.000000
7.680000,0.000000
7.701333,0.000000
7.722667,0.000000
7.744000,0.486752
7.765333,0.009075
7.786667,0.000000
7.808000,0.000000
7.829333,0.000000
7.850667,0.000000
7.872000,0.000000
7.893333,0.000000
7.914667,0.000000
7.936000,0.000000
7.957333,0.000000
7.978667,0.000111
8.000000,1.000000
8.021333,0.000111
8.042667,0.000000
8.064000,0.000000
8.085333,0.000000
8.106667,0.000000
8.128000,0.000000
8.149333,0.000000
8.170667,0.000000
8.192000,0.000000
8.213333,0.000000
8.234667,0.009075
8.256000,0.486752
8.277333,0.000000
8.298667,0.000000
8.320000,0.000000
8.341333,0.000000
8.362667,0.000000
8.384000,0.000000
8.405333,0.000000
8.426667,0.000000
8.448000,0.000000
8.469333,0.000000
8.490667,0.175131
8.512000,0.056135
8.533333,0.000000
8.554667,0.000000
8.576000,0.000000
8.597333,0.000000
8.618667,0.000000
8.640000,0.000000
8.661333,0.000000
8.682667,0.000000
8.704000,0.000000
8.725333,0.000005
8.746667,0.800737
8.768000,0.001534
8.789333,0.000000
8.810667,0.000000
8.832000,0.000000
8.853333,0.000000
8.874667,0.000000
8.896000,0.000000
8.917333,0.000000
8.938667,0.000000
8.960000,0.000000
8.981333,0.000941
9.002667,0.867428
9.024000,0.000000
9.045333,0.000000
9.066667,0.000000
9.088000,0.000000
9.109333,0.000000
9.130667,0.000000
9.152000,0.000000
9.173333,0.000000
9.194667,0.000000
9.216000,0.000000
9.237333,0.040401
9.258667,0.222635
9.280000,0.000000
9.301333,0.000000
9.322667,0.000000
9.344000,0.000000
9.365333,0.000000
9.386667,0.000000
9.408000,0.000000
9.429333,0.000000
9.450667,0.000000
9.472000,0.000000
9.493333,0.411112
9.514667,0.013538
9.536000,0.000000
9.557333,0.000000
9.578667,0.000000
9.600000,0.000000
9.621333,0.000000
9.642667,0.000000
9.664000,0.000000
9.685333,0.000000
9.706667,0.000000
9.728000,0.000063
9.749333,0.991151
9.770667,0.000195
9.792000,0.000000
9.813333,0.000000
9.834667,0.000000
9.856000,0.000000
9.877333,0.000000
9.898667,0.000000
9.920000,0.000000
9.941333,0.000000
9.962667,0.000000
9.984000,0.005976
10.005333,0.566154
10.026667,0.000000
10.048000,0.000000
10.069333,0.000000
10.090667,0.000000
10.112000,0.000000
10.133333,0.000000
10.154667,0.000000
10.176000,0.000000
10.197333,0.000000
10.218667,0.000000
10.240000,0.135335
10.261333,0.076621
10.282667,0.000000
10.304000,0.000000
10.325333,0.000000
10.346667,0.000000
10.368000,0.000000
10.389333,0.000000
10.410667,0.000000
10.432000,0.000000
10.453333,0.000000
10.474667,0.000003
10.496000,0.726149
10.517333,0.002457
10.538667,0.000000
10.560000,0.000000
10.581333,0.000000
10.602667,0.000000
10.624000,0.000000
10.645333,0.000000
10.666667,0.000000
10.688000,0.000000
10.709333,0.000000
10.730667,0.000567
10.752000,0.923116
10.773333,0.000000
10.794667,0.000000
10.816000,0.000000
10.837333,0.000000
